Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME
106,HUMBPP_6_UNITS,ngct,PGE_valley,97.62,7.19,7.26,7.32,35,98,1,1,3.17,41.09589041,6833.4,Humboldt Bay Generating Station 1,Humboldt Bay,246,40.7415,-124.2103,23.0,Humboldt
174,INDIGO_1_UNIT1,ngct,SCE,44.0,11.9,11.97,12.03,16,44,1,1,3.17,18.63013699,3080.0,Indigo Energy 1,Indigo Generation Facility,55541,33.910872999999995,-116.552994,65.0,Riverside
175,INDIGO_1_UNIT2,ngct,SCE,44.53,11.9,11.97,12.03,16,45,1,1,3.17,18.90410959,3117.1,Indigo Energy 2,Indigo Generation Facility,55541,33.910872999999995,-116.552994,65.0,Riverside
176,INDIGO_1_UNIT3,ngct,SCE,43.69,11.9,11.97,12.03,16,44,1,1,3.17,18.35616438,3058.3,Indigo Energy 3,Indigo Generation Facility,55541,33.910872999999995,-116.552994,65.0,Riverside
131,INLDEM_5_UNIT1,ngcc,SCE,376.2,5.62,5.88,6.14,151,377,2,2,2.0,172.6937269,26334.0,"Inland Empire Energy Center, Unit 1",Inland Empire Energy Center,55853,33.738839,-117.170369,65.0,Riverside
132,INLDEM_5_UNIT2,ngcc,SCE,366.32,5.62,5.88,6.14,147,367,1,1,2.0,168.2656827,25642.4,"Inland Empire Energy Center, L.L.C. Unit 2",Inland Empire Energy Center,55853,33.738839,-117.170369,65.0,Riverside
17,KELSO_2_UNITS,ngct,PGE_bay,196.0,8.64,8.7,8.77,69,196,1,1,3.17,82.63013699,13720.0,Mariposa Energy Project,Mariposa Energy Project,57483,37.789167,-121.601944,1.0,Alameda
76,KERNFT_1_UNITS,ngct,PGE_valley,52.4,8.67,8.73,8.8,19,53,1,1,3.17,22.19178082,3668.0,KERN FRONT LIMITED,Kern Front Limited,50494,35.51647,-119.040128,29.0,Kern
72,KERNRG_1_UNITS,ngct,PGE_valley,55.2,9.02,9.09,9.15,20,56,1,1,3.17,23.28767123,3864.0,South Belridge Cogen Facility,South Belridge Cogeneration Facility,50752,35.438611,-119.7075,29.0,Kern
85,KINGCO_1_KINGBR,ngct,PGE_valley,34.5,8.02,8.08,8.15,13,35,1,1,3.17,14.52054795,2415.0,"PE - KES KINGSBURG,LLC",Kingsburg Cogen Facility,10405,36.5397,-119.5794,19.0,Fresno
68,KNGCTY_6_UNITA1,ngct,PGE_valley,44.6,9.43,9.49,9.56,16,45,1,1,3.17,18.90410959,3122.0,King City Energy Center,King City Power Plant,10294,36.225,-121.1278,53.0,Monterey
53,LAPLMA_2_UNIT1,ngcc,PGE_valley,259.8,6.0,6.26,6.52,104,260,3,3,2.0,119.5571956,18186.0,LA PALOMA UNIT 1,La Paloma Generating Plant,55151,35.2956,-119.5919,29.0,Kern
54,LAPLMA_2_UNIT2,ngcc,PGE_valley,260.2,6.0,6.26,6.52,105,261,3,3,2.0,119.5571956,18214.0,LA PALOMA UNIT 2,La Paloma Generating Plant,55151,35.2956,-119.5919,29.0,Kern
55,LAPLMA_2_UNIT3,ngcc,PGE_valley,256.15,6.0,6.26,6.52,103,257,3,3,2.0,117.7121771,17930.5,LA PALOMA UNIT 3,La Paloma Generating Plant,55151,35.2956,-119.5919,29.0,Kern
56,LAPLMA_2_UNIT4,ngcc,PGE_valley,259.54,6.0,6.26,6.52,104,260,2,2,2.0,119.1881919,18167.8,LA PALOMA UNIT 4,La Paloma Generating Plant,55151,35.2956,-119.5919,29.0,Kern
243,LARKSP_6_UNIT1,ngct,SDGE,46.1,11.9,11.97,12.03,22,47,1,1,3.17,19.45205479,3227.0,Larkspur 1,Larkspur Energy Faciity,55542,32.567041,-116.944197,73.0,San Diego
244,LARKSP_6_UNIT2,ngct,SDGE,47.98,11.9,11.97,12.03,18,48,1,1,3.17,20.273972600000004,3358.6,Larkspur 2,Larkspur Energy Faciity,55542,32.567041,-116.944197,73.0,San Diego
127,LEBECS_2_UNITS,ngcc,SCE,799.47,9.62,9.88,10.14,320,800,3,3,2.0,367.5276753,55962.9,PASTORIA ENERGY FACILITY,Pastoria Energy Facility,55656,34.9556,-118.844,29.0,Kern
29,LECEF_1_UNITS,ngct,PGE_bay,294.0,11.9,11.96,12.03,103,294,1,1,3.17,123.9452055,20580.0,LOS ESTEROS ENERGY FACILITY (AGGREGATE),Los Esteros Critical Energy Facility,55748,37.425,-121.9319,85.0,Santa Clara
143,LGHTHP_6_ICEGEN,ngct,SCE,48.0,8.02,8.08,8.15,17,48,1,1,3.17,20.273972600000004,3360.0,CARSON COGENERATION COMPANY,Carson Cogeneration Company,10169,33.8759,-118.2491,37.0,Los Angeles
65,LMBEPK_2_UNITA1,ngct,PGE_valley,48.0,9.58,9.65,9.71,17,48,1,1,3.17,20.273972600000004,3360.0,LAMBIE ENERGY CENTER,Lambie Energy Center,55626,38.221577,-121.868333,95.0,Solano
23,LMBEPK_2_UNITA2,ngct,PGE_bay,48.0,9.46,9.53,9.59,17,48,1,1,3.17,20.21917808,3360.0,CREED ENERGY CENTER,Creed Energy Center,55625,38.242158,-121.854722,95.0,Solano
24,LMBEPK_2_UNITA3,ngct,PGE_bay,48.0,9.66,9.73,9.79,17,48,1,1,3.17,20.21917808,3360.0,GOOSE HAVEN ENERGY CENTER,Goose Haven Energy Center,55627,38.22675200000001,-121.843271,95.0,Solano
10,LMEC_1_PL1X3,ngcc,PGE_bay,561.29,8.36,8.62,8.88,225,562,4,4,2.0,257.896679,39290.3,LOS MEDANOS ENERGY CENTER (AGGREGATE),"Los Medanos Energy Center, LLC",55217,38.030071,-121.873004,13.0,Contra Costa
59,LODI25_2_UNIT1,ngct,PGE_valley,25.3,13.94,14.01,14.07,9,26,1,1,3.17,10.68493151,1771.0,LODI GAS TURBINE,Lodi,7451,38.146571,-121.300541,77.0,San Joaquin
