SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
6503,2018,NC,Old Catawba PV 1,59519,"Duke Energy Carolinas, LLC",5416,"Ecoplexus, Inc",58970,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,035,Catawba,35.711667,-81.134167
6504,2018,NC,Old Pageland Monroe Road Solar Farm,60600,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,179,Union,34.95233,-80.48191
6505,2018,NC,Old Wire Farm,61094,Duke Energy Progress - (NC),3046,"Old Wire Farm, LLC",60707,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.817836,-79.513928
6506,2018,NC,Onslow Energy,59036,"Duke Energy Carolinas, LLC",5416,Enerdyne Power Systems Inc,58523,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,133,Onslow,34.799167,-77.543056
6507,2018,NC,Onslow Power Producers,58558,"Duke Energy Carolinas, LLC",5416,"Cube District Energy, LLC",61038,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,133,Onslow,34.7975,-77.543056
6508,2018,NC,Orbit Energy Charlotte,58638,"Duke Energy Carolinas, LLC",5416,"Entropy Investment Management, LLC",61249,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,119,Mecklenburg,35.2625,-80.811667
6509,2018,NC,Organ Church Solar,60284,"Duke Energy Carolinas, LLC",5416,Radian Generation,61494,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,159,Rowan,35.525584,-80.451125
6510,2018,NC,"Osceola Solar, LLC",60828,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,001,Alamance,36.189,-79.532
6511,2018,NC,Ouchchy PV1,59999,"Duke Energy Carolinas, LLC",5416,"Ecoplexus, Inc",58970,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,135,Orange,36.084097,-79.24481
6512,2018,NC,Owen Solar,58742,"Duke Energy Carolinas, LLC",5416,Owen Solar LLC,59916,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,035,Catawba,35.586111,-81.315278
6513,2018,NC,Oxford Dam,2729,"Duke Energy Carolinas, LLC",5416,"Duke Energy Carolinas, LLC",5416,Electric Utility,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,035,Catawba,35.8214,-81.1922
6514,2018,NC,Page Solar,62018,Duke Energy Progress - (NC),3046,"Page Solar Farm, LLC",61603,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,101,Johnston,35.533191,-78.639456
6515,2018,NC,Pamlico Partners Solar,58799,City of Washington - (NC),20142,SunEnergy1,58466,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,013,Beaufort,35.501111,-76.87
6516,2018,NC,"Panda Solar NC 1, LLC",62089,Lumbee River Elec Member Corp,11291,"Panda Solar NC 1, LLC",61612,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.436698,-79.090206
6517,2018,NC,"Panda Solar NC 10, LLC",62128,South River Elec Member Corp,17572,"Panda Solar NC 10, LLC",61663,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,051,Cumberland,34.909631,-78.912997
6518,2018,NC,"Panda Solar NC 11, LLC",62129,South River Elec Member Corp,17572,"Panda Solar NC 11, LLC",61664,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,051,Cumberland,34.908589,-78.912481
6519,2018,NC,"Panda Solar NC 2, LLC",62120,Lumbee River Elec Member Corp,11291,"Panda Solar NC 2, LLC",61655,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.4384,-79.0847
6520,2018,NC,"Panda Solar NC 3, LLC",62121,Lumbee River Elec Member Corp,11291,"Panda Solar NC 3, LLC",61656,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.631814,-79.090672
6521,2018,NC,"Panda Solar NC 4, LLC",62122,Four County Elec Member Corp,6640,"Panda Solar NC 4, LLC",61657,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,017,Bladen,34.519408,-78.52434
6522,2018,NC,"Panda Solar NC 5, LLC",62123,South River Elec Member Corp,17572,"Panda Solar NC 5, LLC",61658,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,051,Cumberland,35.047153,-78.810478
6523,2018,NC,"Panda Solar NC 6, LLC",62124,Brunswick Electric Member Corp,24889,"Panda Solar NC 6, LLC",61660,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,047,Columbus,34.353586,-78.7874
6524,2018,NC,"Panda Solar NC 7, LLC",62125,South River Elec Member Corp,17572,"Panda Solar NC 7 , LLC",61659,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,163,Sampson,35.121181,-78.205464
6525,2018,NC,"Panda Solar NC 8, LLC",62126,Randolph Electric Member Corp,15671,"Panda Solar NC 8, LLC",61661,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,125,Moore,35.420931,-79.705958
6526,2018,NC,"Panda Solar NC 9, LLC",62127,South River Elec Member Corp,17572,"Panda Solar NC 9, LLC",61662,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,051,Cumberland,34.910856,-78.9136
6527,2018,NC,Pasquotank,59530,Virginia Electric & Power Co,19876,"Colonial Eagle Solar, LLC",59261,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,139,Pasquotank,36.264722,-76.306111
