name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
BASICE_2_UNITS,ngcc,PGE_valley,135,5.493519687,6.015411167,6.276356906,54,135,5,5,2,61.99261993,9450,20.4276227,3.841799754,0.146367994,4.547334
BDGRCK_1_UNITS,ngct,PGE_valley,47.49,4.831307278,4.961356802,5.026381564,17,48,1,1,3.17,20,3324.3,22.95840278,49.57590287,0.033086747,1.413492
BEARMT_1_UNIT,ngct,PGE_valley,47.49,4.785540901,4.915590425,4.980615187,17,48,1,1,3.17,20,3324.3,21.41505544,55.52971916,0.030801883,1.413492
BOGUE_1_UNITA1,ngct,PGE_valley,46.3,10.34803845,10.47808797,10.54311274,17,47,1,1,3.17,19.45205479,3241,24.74413441,5.964040593,0.065172033,1.172481
BORDER_6_UNITA1,ngct,SDGE,51.25,9.020221119,9.150270643,9.215295405,6,52,1,1,3.17,21.64383562,3587.5,27.76295616,1.693956,0.2969155,4.557959
BRDWAY_7_UNIT3,ngst,SCE,65,9.244798906,10.65471104,11.35966711,26,65,6,6,2,13.49693252,4550,30.04444259,13.34145,0,12.63779
BUCKBL_2_PL1X3,ngcc,SCE,493.63,5.8417542,6.36364568,6.62459142,198,494,1,1,2,226.9372694,34554.1,28.47555532,1.01645714,0.233981527,2.940709
CALPIN_1_AGNEW,ngcc,PGE_valley,28,7.936631618,8.458523097,8.719468837,12,28,5,5,2,12.91512915,1960,24.0804703,33.6301515,0.9456085,4.542792
CENTER_6_PEAKER,ngct,SCE,47,10.17944982,10.30949935,10.37452411,17,47,1,1,3.17,19.7260274,3290,23.79519853,6.331843276,0.47338997,12.63779
CENTRY_6_PL1X4,ngct,SCE,41.4,13.83214398,13.9621935,14.02721826,15,42,1,1,3.17,17.53424658,2898,39.71088739,30.340449,0.3872175,1.338059
CHALK_1_UNIT,ngct,PGE_valley,47.49,5.221407311,5.351456835,5.416481597,17,48,1,1,3.17,20,3324.3,18.08013521,12.558915,0.140852,1.413492
CHEVCD_6_UNIT,ngct,PGE_valley,11.5,3.225819453,3.355868978,3.42089374,5,12,1,1,3.17,4.931506849,805,13.06709746,9.1837775,0.104108,1.413492
CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,3.511100972,4.032992452,4.293938192,5,13,6,6,2,5.904059041,875,12.9631669,8.8833525,0.23004,1.25732
CHEVCO_6_UNIT1,ngct,PGE_valley,19,3.184452438,3.314501962,3.379526724,7,19,1,1,3.17,7.945205479,1330,12.9631669,8.8833525,0.23004,1.25732
CHINO_6_CIMGEN,ngct,SCE,31.6,4.81423351,4.944283035,5.009307797,12,32,1,1,3.17,13.42465753,2212,17.05729171,12.948463,0.167035,1.338059
CHWCHL_1_UNIT,ngct,PGE_valley,48.6,8.395354373,8.525403897,8.59042866,18,49,1,1,3.17,20.54794521,3402,26.05334571,123.4397483,0.3841365,1.163148
COCOPP_2_CTG1,ngct,PGE_bay,204.2,9.784236066,9.914285591,9.979310353,72,205,1,1,3.17,86.08219178,14294,24.97333612,1.156388265,0.209212157,7.069397
COCOPP_2_CTG2,ngct,PGE_bay,202.7,9.784236066,9.914285591,9.979310353,71,203,1,1,3.17,85.45205479,14189,25.13365911,1.091459979,0.21055669,7.069397
COCOPP_2_CTG3,ngct,PGE_bay,208.96,9.784236066,9.914285591,9.979310353,74,209,1,1,3.17,88.08219178,14627.2,25.18573184,1.233885908,0.210981091,7.069397
COCOPP_2_CTG4,ngct,PGE_bay,204.29,9.784236066,9.914285591,9.979310353,72,205,1,1,3.17,86.10958904,14300.3,25.5576339,1.159682365,0.21412309,7.069397
COLGA1_6_SHELLW,ngct,PGE_valley,52.9,3.452865876,3.582915401,3.647940163,19,53,1,1,3.17,22.19178082,3703,13.63744758,9.4737195,0.2444175,1.25732
COLTON_6_AGUAM1,ngct,SCE,43,9.023959992,9.154009516,9.219034278,16,43,1,1,3.17,18.08219178,3010,22.51151856,1.273032362,0.040073215,1.339397
COLUSA_2_PL1X3,ngct,PGE_valley,641,5.243520848,5.373570373,5.438595135,225,641,1,1,3.17,270.1369863,44870,19.35612784,0.505959922,0.05506281,1.192814
CORONS_6_CLRWTR,ngcc,SCE,28,5.41227434,5.934165819,6.195111559,12,28,4,4,2,12.91512915,1960,17.73905127,21.650994,0.804517,2.937772
CROKET_7_UNIT,ngcc,PGE_bay,240,4.339491076,4.861382555,5.122328295,96,240,5,5,2,110.2583026,16800,15.04414213,27.3615615,0.677616,7.062336
CSCCOG_1_UNIT_1,ngct,PGE_bay,7,7.095723572,7.225773096,7.290797858,3,7,1,1,3.17,2.931506849,490,22.78864523,31.701015,0.8846015,4.542792
CSCGNR_1_UNIT_1,ngct,PGE_bay,24.75,12.64910287,12.77915239,12.84417715,9,25,1,1,3.17,10.4109589,1732.5,36.73889457,51.1164765,1.4336645,4.542792
CSCGNR_1_UNIT_2,ngct,PGE_bay,24.75,12.64910287,12.77915239,12.84417715,9,25,1,1,3.17,10.4109589,1732.5,36.73889457,51.1164765,1.4336645,4.542792
DELTA_2_PL1X4,ngcc,PGE_bay,880,5.51198883,6.03388031,6.294826049,352,880,4,4,2,404.3542435,61600,18.53685157,1.267566368,0.155298888,7.069397
DEXZEL_1_UNIT,ngct,PGE_valley,36.8,5.263604961,5.393654485,5.458679247,13,37,1,1,3.17,15.61643836,2576,18.1861289,12.7007275,0.140852,1.413492
DISCOV_1_CHEVRN,ngct,PGE_valley,56.2,3.015346928,3.145396452,3.210421214,20,57,1,1,3.17,23.56164384,3934,12.53837545,8.75834,0.097984,1.413492
DIVSON_6_NSQF,ngcc,SDGE,47,8.769799815,9.291691295,9.552637034,19,47,6,6,2,21.77121771,3290,26.1734805,43.891364,1.3997445,4.553406
DOUBLC_1_UNITS,ngct,PGE_valley,52.23,8.375192418,8.505241943,8.570266705,19,53,1,1,3.17,21.91780822,3656.1,26.00262691,18.0669125,0.202092,1.413492
DREWS_6_PL1X4,ngct,SCE,41.4,19.49899086,19.62904038,19.69406515,15,42,1,1,3.17,17.53424658,2898,53.94632253,41.501642,0.5238825,1.338059
DUANE_1_PL1X3,ngcc,PGE_bay,147.8,6.294328319,6.816219799,7.077165539,60,148,2,2,2,67.89667897,10346,19.70162389,0.716272588,0.14118545,4.547334
ELCAJN_6_LM6K,ngct,SDGE,48.1,9.24409192,9.374141445,9.439166207,16,49,1,1,3.17,20.2739726,3367,20.92635615,1.961219564,0.208515272,4.557959
ELCAJN_6_UNITA1,ngct,SDGE,45.42,9.379003863,9.509053388,9.57407815,6,46,1,1,3.17,19.17808219,3179.4,28.55618962,1.762816,0.2969155,4.557959
ELCAJN_7_GT1,ngct,SDGE,16.36,17.08549966,17.21554918,17.28057395,9,17,1,1,3.17,6.849315068,1145.2,47.88413629,0,0,4.553406
ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,3.959884309,4.481775788,4.742721528,221,552,2,2,2,253.5055351,38619,14.32776055,0.170175,0.018372,1.414905
ELSEGN_2_UN1011,ngcc,SCE,263,6.881545995,7.403437474,7.664383214,106,263,1,1,2,121.0332103,18410,20.46659666,1.739733974,0.407067959,12.63779
ELSEGN_2_UN2021,ngcc,SCE,263.68,6.881545995,7.403437474,7.664383214,106,264,1,1,2,121.0332103,18457.6,20.0798529,2.340815215,0.399379923,12.63779
ESCNDO_6_PL1X2,ngct,SDGE,48.71,8.528303197,8.658352721,8.723377484,38,49,1,1,3.17,20.54794521,3409.7,20.53786302,1.081914548,0.204659613,4.557959
ESCNDO_6_UNITB1,ngct,SDGE,48.04,8.848529643,8.978579167,9.043603929,13,49,1,1,3.17,20.2739726,3362.8,27.22611054,2.024484,0.2969155,4.557959
ESCO_6_GLMQF,ngct,SDGE,49.9,5.422020677,5.552070201,5.617094963,113,50,1,1,3.17,21.09589041,3493,20.27994502,2.174122289,0.202140072,4.557959
ETIWND_2_UNIT1,ngct,SCE,33.6,3.775944446,3.90599397,3.971018732,12,34,1,1,3.17,14.24657534,2352,14.44903436,10.963977,0.136665,1.338059
ETIWND_6_GRPLND,ngct,SCE,46,10.84404265,10.97409218,11.03911694,17,46,1,1,3.17,19.45205479,3220,23.97127444,0.878079588,0.042748812,1.339397
ETIWND_7_UNIT3,ngst,SCE,320,10.55984336,11.96975549,12.67471156,128,320,6,6,2,66.3803681,22400,45.66432908,0.638698191,0.081451581,1.339397
ETIWND_7_UNIT4,ngst,SCE,320,10.55984336,11.96975549,12.67471156,128,320,6,6,2,66.3803681,22400,42.10803848,0.564195533,0.075103492,1.339397
FRITO_1_LAY,ngct,PGE_valley,6,5.073133592,5.203183116,5.268207878,3,6,1,1,3.17,2.465753425,420,17.70765289,12.5192075,0.140852,1.413492
GATWAY_2_PL1X3,ngcc,PGE_bay,562.5,5.711155774,6.233047253,6.493992993,225,563,1,1,2,258.4870849,39375,19.18819488,1.803025729,0.160751914,7.069397
GILROY_1_UNIT,ngcc,PGE_bay,120,10.16810968,10.69000116,10.9509469,48,120,6,6,2,55.12915129,8400,23.14685751,4.27629206,0.165786523,4.547334
GILRPP_1_PL1X2,ngct,PGE_bay,95.4,9.841461144,9.971510668,10.03653543,34,96,1,1,3.17,40.21917808,6678,22.12786091,5.34355242,0.158551092,4.547334
GILRPP_1_PL3X4,ngct,PGE_bay,46.2,9.841461144,9.971510668,10.03653543,17,47,1,1,3.17,19.45205479,3234,28.95424625,6.627374711,0.20759767,4.547334
GLNARM_7_UNIT1,ngct,SCE,22.07,5.337895976,5.467945501,5.532970263,8,23,1,1,3.17,9.315068493,1544.9,24.98311453,10.79230951,0.489299463,12.63779
GLNARM_7_UNIT2,ngct,SCE,22.3,5.337895976,5.467945501,5.532970263,8,23,1,1,3.17,9.315068493,1561,27.94240616,14.39844861,0.555883951,12.63779
GLNARM_7_UNIT3,ngct,SCE,44.83,5.337895976,5.467945501,5.532970263,16,45,1,1,3.17,18.90410959,3138.1,24.76158512,14.54718354,0.492652395,12.63779
GLNARM_7_UNIT4,ngct,SCE,42.42,5.337895976,5.467945501,5.532970263,15,43,1,1,3.17,17.80821918,2969.4,22.24535231,3.43129642,0.419362043,12.63779
GOLETA_6_ELLWOD,ngct,SCE,54,12.47225208,12.60230161,12.66732637,19,54,1,1,3.17,22.73972603,3780,36.29467524,26.402571,0.836119,1.453057
GOLETA_6_EXGEN,ngct,SCE,48.2,8.486745027,8.616794551,8.681819313,17,49,1,1,3.17,20.2739726,3374,26.28351451,19.0032,0,1.453057
